FIPS,HOM_STUDENTS
17127.0,127.0
17053.0,28.0
17143.0,827.0
17059.0,65.0
17111.0,908.0
17183.0,482.0
17013.0,42.0
17107.0,113.0
17017.0,65.0
17019.0,719.0
17113.0,460.0
17099.0,280.0
17125.0,111.0
17121.0,572.0
17123.0,17.0
17045.0,237.0
17115.0,519.0
17011.0,241.0
17057.0,192.0
17001.0,155.0
17149.0,67.0
17051.0,320.0
17135.0,280.0
17049.0,268.0
17201.0,3018.0
17117.0,427.0
17061.0,253.0
17177.0,379.0
17085.0,40.0
17079.0,67.0
17081.0,566.0
17029.0,285.0
17173.0,125.0
17043.0,2874.0
17199.0,661.0
17067.0,140.0
17031.0,23600.0
17091.0,429.0
17077.0,410.0
17089.0,2483.0
17095.0,173.0
17195.0,179.0
17141.0,168.0
17103.0,62.0
17119.0,1472.0
17161.0,462.0
17163.0,2417.0
17203.0,61.0
17197.0,2443.0
17055.0,567.0
17139.0,117.0
17109.0,139.0
17071.0,27.0
17187.0,42.0
17075.0,54.0
17167.0,655.0
17169.0,35.0
17131.0,41.0
17027.0,307.0
17185.0,176.0
17073.0,292.0
17181.0,213.0
17041.0,124.0
17189.0,95.0
17129.0,10.0
17007.0,125.0
17171.0,20.0
17063.0,108.0
17175.0,34.0
17003.0,120.0
17165.0,292.0
17021.0,204.0
17179.0,337.0
17157.0,239.0
17191.0,89.0
17025.0,244.0
17133.0,102.0
17065.0,105.0
17037.0,305.0
17159.0,145.0
17047.0,37.0
17137.0,188.0
17005.0,84.0
17069.0,46.0
17033.0,194.0
17083.0,69.0
17101.0,60.0
17093.0,567.0
17153.0,114.0
17009.0,9.0
17035.0,43.0
17151.0,42.0
17155.0,8.0
18055.0,49.0
18043.0,85.0
18097.0,4356.0
18089.0,885.0
18003.0,1414.0
18001.0,108.0
18105.0,249.0
18127.0,462.0
18019.0,444.0
18121.0,18.0
18095.0,282.0
18141.0,375.0
18153.0,52.0
18045.0,30.0
18029.0,40.0
18063.0,200.0
18027.0,31.0
18005.0,380.0
18137.0,115.0
18039.0,634.0
18007.0,6.0
18009.0,15.0
18061.0,27.0
18179.0,74.0
18021.0,11.0
18099.0,71.0
18013.0,21.0
18071.0,107.0
18065.0,53.0
18123.0,147.0
18057.0,275.0
18015.0,34.0
18049.0,38.0
18081.0,502.0
18177.0,104.0
18033.0,93.0
18113.0,105.0
18135.0,105.0
18067.0,376.0
18023.0,120.0
18091.0,162.0
18133.0,173.0
18183.0,60.0
18025.0,23.0
18107.0,81.0
18031.0,66.0
18035.0,70.0
18011.0,175.0
18175.0,92.0
18053.0,181.0
18059.0,80.0
18145.0,109.0
18163.0,527.0
18041.0,8.0
18047.0,6.0
18151.0,75.0
18181.0,19.0
18037.0,14.0
18109.0,514.0
18069.0,27.0
18075.0,8.0
18079.0,191.0
18073.0,95.0
18149.0,23.0
18157.0,546.0
18087.0,98.0
18085.0,166.0
18017.0,358.0
18103.0,96.0
18077.0,91.0
18169.0,37.0
18093.0,64.0
18131.0,14.0
18129.0,47.0
18051.0,101.0
18111.0,25.0
18147.0,25.0
18159.0,17.0
18165.0,61.0
18117.0,25.0
18125.0,23.0
18115.0,47.0
18139.0,29.0
18143.0,23.0
18101.0,1.0
18119.0,218.0
18155.0,56.0
18167.0,366.0
18083.0,26.0
18173.0,32.0
19065.0,39.0
19099.0,33.0
19059.0,25.0
19171.0,58.0
19013.0,303.0
19155.0,179.0
19025.0,1.0
19127.0,70.0
19049.0,193.0
19149.0,13.0
19135.0,10.0
19023.0,19.0
19021.0,57.0
19169.0,179.0
19105.0,32.0
19153.0,1594.0
19029.0,4.0
19009.0,8.0
19011.0,39.0
19163.0,451.0
19179.0,179.0
19123.0,63.0
19015.0,54.0
19167.0,46.0
19081.0,6.0
19157.0,9.0
19189.0,2.0
19057.0,258.0
19045.0,123.0
19027.0,26.0
19113.0,881.0
19117.0,15.0
19067.0,29.0
19035.0,1.0
19197.0,16.0
19039.0,10.0
19041.0,5.0
19095.0,25.0
19103.0,461.0
19033.0,136.0
19115.0,86.0
19175.0,1.0
19051.0,11.0
19191.0,4.0
19047.0,4.0
19075.0,1.0
19061.0,217.0
19031.0,12.0
19121.0,63.0
19019.0,33.0
19097.0,25.0
19005.0,1.0
19055.0,38.0
19043.0,1.0
19083.0,5.0
19147.0,3.0
19145.0,15.0
19063.0,3.0
19101.0,11.0
19187.0,69.0
19111.0,9.0
19071.0,8.0
19129.0,137.0
19001.0,3.0
19077.0,3.0
19069.0,22.0
19165.0,21.0
19141.0,1.0
19183.0,150.0
19089.0,37.0
19091.0,3.0
19181.0,29.0
19017.0,26.0
19073.0,11.0
19107.0,13.0
19193.0,680.0
19125.0,21.0
19085.0,2.0
19159.0,4.0
19087.0,17.0
19139.0,77.0
19037.0,26.0
19195.0,3.0
19151.0,11.0
19079.0,29.0
19177.0,21.0
19161.0,10.0
19133.0,1.0
20169.0,112.0
20113.0,66.0
20149.0,26.0
20013.0,11.0
20059.0,240.0
20171.0,6.0
20153.0,1.0
20201.0,5.0
20089.0,6.0
20053.0,10.0
20159.0,57.0
20131.0,2.0
20117.0,1.0
20041.0,8.0
20177.0,521.0
20111.0,64.0
20099.0,16.0
20015.0,86.0
20173.0,2334.0
20035.0,61.0
20037.0,242.0
20025.0,7.0
20005.0,1.0
20077.0,7.0
20045.0,219.0
20103.0,158.0
20021.0,86.0
20191.0,107.0
20165.0,14.0
20209.0,1156.0
20057.0,33.0
20155.0,106.0
20031.0,67.0
20125.0,19.0
20133.0,15.0
20069.0,17.0
20027.0,3.0
20193.0,12.0
20017.0,5.0
20197.0,22.0
20127.0,22.0
20157.0,1.0
20091.0,1102.0
20129.0,19.0
20051.0,18.0
20073.0,22.0
20011.0,99.0
20205.0,28.0
20055.0,255.0
20003.0,8.0
20181.0,1.0
20009.0,29.0
20071.0,4.0
20097.0,3.0
