FIPS,crime
12113.0,260.0
12117.0,1305.0
12119.0,249.0
12121.0,212.0
12123.0,153.0
12125.0,47.0
12129.0,76.0
12131.0,143.0
12133.0,61.0
13001.0,83.0
13003.0,6.0
13005.0,37.0
13007.0,0.0
13009.0,224.0
13011.0,45.0
13013.0,33.0
13135.0,1356.5
13015.0,69.0
13017.0,71.0
13019.0,88.0
13173.0,21.0
13021.0,559.0
13023.0,32.0
13025.0,15.0
13027.0,90.0
13029.0,68.0
13031.0,95.0
13033.0,54.0
13035.0,72.0
13037.0,5.5
13099.0,49.5
13039.0,40.0
13043.0,24.0
13045.0,223.5
13097.0,308.5
13047.0,96.0
13295.0,133.0
13049.0,42.0
13051.0,1216.0
13053.0,0.0
13055.0,24.0
13057.0,147.0
13227.0,48.0
13059.0,640.0
13061.0,8.0
13063.0,1750.5
13065.0,4.0
13067.0,1718.5
13069.0,67.0
13071.0,52.0
13073.0,44.0
13075.0,53.0
13077.0,847.5
13079.0,13.0
13081.0,59.0
13083.0,0.0
13085.0,32.0
13087.0,110.0
13089.0,4236.0
13091.0,80.0
13093.0,10.0
13095.0,855.0
13101.0,3.0
13103.0,73.0
13105.0,40.0
13107.0,41.0
13109.0,19.0
13111.0,31.0
13113.0,83.0
13115.0,63.0
13117.0,125.0
13119.0,32.0
13195.0,102.0
13147.0,77.0
13121.0,3090.0
13123.0,77.0
13125.0,1.0
13127.0,250.0
13129.0,196.0
13131.0,53.0
13133.0,21.0
13137.0,57.0
13139.0,422.0
13141.0,22.0
13143.0,166.5
13145.0,41.0
13199.0,58.5
13149.0,21.0
13151.0,189.0
13153.0,323.5
13225.0,289.5
13155.0,20.0
13157.0,45.0
13159.0,69.0
13161.0,25.0
13163.0,45.0
13165.0,31.0
13167.0,0.0
13169.0,27.0
13171.0,32.0
13175.0,179.0
13177.0,41.0
13179.0,100.0
13181.0,7.0
13183.0,18.0
13185.0,266.0
13187.0,24.0
13189.0,28.0
13191.0,11.0
13193.0,14.0
13197.0,10.0
13263.0,15.0
13201.0,11.0
13205.0,62.0
13207.0,16.0
13209.0,30.5
13211.0,9.0
13213.0,50.0
13215.0,632.0
13217.0,166.0
13219.0,16.0
13221.0,41.0
13223.0,369.0
13233.0,97.0
13229.0,79.0
13231.0,20.0
13235.0,50.0
13237.0,29.0
13239.0,0.0
13241.0,14.0
13243.0,13.0
13245.0,540.0
13247.0,148.0
13249.0,12.0
13251.0,44.0
13253.0,22.0
13255.0,356.0
13257.0,41.0
13259.0,3.0
13261.0,144.0
13265.0,0.0
13267.0,26.0
13269.0,10.0
13271.0,0.0
13309.0,0.0
13273.0,8.0
13275.0,121.0
13277.0,205.0
13279.0,45.5
13281.0,23.0
13283.0,5.0
13285.0,95.5
13287.0,11.0
13289.0,13.0
13291.0,13.0
13293.0,56.0
13297.0,118.5
13299.0,120.0
13301.0,6.0
13303.0,30.0
13305.0,118.0
13307.0,0.0
13311.0,35.0
13313.0,296.0
13315.0,12.0
13317.0,22.0
13319.0,26.0
13321.0,95.0
,0.0
15001.0,365.0
15003.0,2701.0
15007.0,235.0
15009.0,449.0
16001.0,1175.0
,114.0
16003.0,11.0
16005.0,161.0
16077.0,131.0
16007.0,6.0
16009.0,31.0
16011.0,78.0
16013.0,40.0
16015.0,22.0
16017.0,53.0
16019.0,292.0
