FIPS,Total_Juvenile_Arrests
29049,77.0
29051,446.0
29053,178.5
29055,119.0
29057,35.0
29059,68.5
29061,37.5
29063,30.0
29065,55.5
29067,21.0
29069,153.5
29071,596.0
29073,41.0
29075,29.0
29077,468.0
29079,191.0
29081,74.5
29083,101.5
29085,54.5
29087,41.0
29089,89.5
29091,189.5
29093,80.0
29095,1077.0
29097,661.0
29099,1193.0
29101,283.0
29103,22.5
29105,202.0
29107,190.0
29109,229.5
29111,62.0
29113,396.0
29115,127.5
29117,64.5
29119,201.0
29121,145.0
29123,84.5
29125,15.0
29127,170.5
29129,23.0
29131,107.0
29133,106.5
29135,39.0
29137,26.0
29139,135.5
29141,80.0
29143,182.0
29145,574.0
29147,174.0
29149,25.5
29151,5.0
29153,24.0
29155,288.5
29157,71.5
29159,325.0
29161,541.0
29163,74.5
29165,272.0
29167,188.5
29169,371.0
29171,33.5
29173,26.0
29175,329.0
29177,237.0
29179,7.5
29181,54.0
29183,1137.5
29185,43.0
29186,50.0
29187,454.5
29189,4563.0
29195,174.0
29197,19.0
29199,30.5
29201,269.5
29203,8.5
29205,83.5
29207,265.5
29209,131.5
29211,56.0
29213,210.0
29215,241.0
29217,311.0
29219,273.5
29221,151.5
29223,5.0
29225,261.5
29227,25.0
29229,40.0
29510,913.5
30001,25.5
30003,99.0
30005,37.0
30007,18.0
30009,13.5
30011,0.0
30013,787.0
30015,15.0
30017,143.0
30019,5.0
30021,62.5
30023,36.0
30025,5.0
30027,35.5
30029,632.0
30031,292.0
30033,0.0
30035,36.5
30037,0.0
30039,10.5
30041,158.0
30043,29.0
30045,7.5
30047,142.0
30049,395.0
30051,8.0
30053,97.0
30055,2.5
30057,16.0
30059,2.5
30061,6.0
30063,579.0
30065,14.5
30067,85.0
30069,5.0
30071,21.0
30073,15.5
30075,5.0
30077,5.0
30079,12.5
30081,185.0
30083,53.5
30085,19.5
30087,39.0
30089,33.5
30091,18.5
30093,280.0
30095,8.0
30097,5.0
30099,13.0
30101,10.5
30103,2.5
30105,28.5
30107,5.0
30109,0.0
30111,660.5
31001,180.0
31003,30.5
31005,0.0
31007,0.0
31009,0.0
31011,5.0
31013,62.5
31015,2.5
31017,2.5
31019,161.0
31021,25.0
31023,15.5
31025,64.0
31027,30.0
31029,5.0
31031,19.5
31033,17.0
31035,29.5
31037,58.5
31039,43.0
31041,29.0
31043,44.5
31045,37.5
31047,114.0
31049,2.5
31051,5.0
31053,131.0
31055,1363.0
31057,2.5
31059,16.5
31061,10.5
31063,5.0
31065,6.0
31067,102.5
31069,5.0
31071,2.5
31073,2.5
31075,0.0
31077,5.0
31079,383.0
31081,19.5
31083,5.0
31085,2.5
31087,15.5
31089,23.5
31091,0.0
31093,7.0
31095,5.0
31097,8.5
31099,15.5
31101,63.5
31103,0.0
31105,8.5
31107,18.0
31109,635.0
31111,158.0
31113,2.5
31115,0.0
31117,0.0
31119,140.0
31121,13.5
31123,12.5
31125,5.0
31127,5.0
31129,8.5
31131,37.0
31133,5.0
31135,2.5
31137,35.0
31139,7.0
31141,114.0
31143,5.0
31145,50.0
31147,14.5
31149,2.5
31151,70.5
31153,409.0
31155,33.5
31157,327.0
31159,28.0
31161,19.0
31163,2.5
31165,0.0
31167,15.5
31169,8.5
31171,0.0
31173,2.5
31175,14.0
31177,29.0
31179,15.0
31181,2.5
31183,0.0
31185,26.5
34001,1162.0
34003,940.0
34005,1234.5
34007,1473.0
34009,597.0
34011,1389.5
34013,1782.0
34015,1821.0
34017,3161.0
34019,105.0
34021,1672.0
34023,2842.5
34025,858.5
34027,465.5
34029,922.5
34031,2031.5
34033,498.0
34035,555.0
34037,347.0
34039,1040.0
34041,222.5
35001,1319.0
35003,2.5
35005,623.0
35006,83.5
35007,87.0
35009,386.5
35011,7.5
35013,1569.0
35015,376.5
35017,135.0
35019,39.5
35021,0.0
35023,11.0
35025,424.5
35027,146.0
35028,44.0
35029,184.0
35031,176.0
35033,7.5
35035,393.5
35037,54.5
35039,184.0
35041,65.0
35043,682.5
35045,774.5
35047,169.0
35049,549.5
35051,39.0
35053,168.5
35055,181.5
35057,72.5
35059,2.5
35061,500.0
36001,483.0
36003,65.0
36005,532.0
36007,234.0
36009,74.0
36011,68.0
36013,211.0
36015,141.0
36017,31.5
36019,40.5
36021,16.0
36023,63.0
36025,27.5
